Symbol,NASDAQ
AAPL,Apple Inc. Common Stock
ABC,AmerisourceBergen Corporation Common Stock
ABT,Abbott Laboratories Common Stock
ACM,AECOM Common Stock
ADI,Analog Devices Inc. Common Stock
ADSK,Autodesk Inc. Common Stock
AEO,American Eagle Outfitters Inc. Common Stock
ALK,Alaska Air Group Inc. Common Stock
AMD,Advanced Micro Devices Inc. Common Stock
AME,AMETEK Inc.
AMGN,Amgen Inc. Common Stock
AMWD,American Woodmark Corporation Common Stock
AQMS,Aqua Metals Inc. Common Stock
ARMK,Aramark Common Stock
ARW,Arrow Electronics Inc. Common Stock
ATR,AptarGroup Inc. Common Stock
AVGO,Broadcom Inc. Common Stock
AVNS,Avanos Medical Inc. Common Stock
AVT,Avnet Inc. Common Stock
BBW,Build-A-Bear Workshop Inc. Common Stock
BDX,Becton Dickinson and Company Common Stock
BHE,Benchmark Electronics Inc. Common Stock
BIOL,Biolase Inc. Common Stock
BJRI,BJ's Restaurants Inc. Common Stock
BLK,BlackRock Inc. Common Stock
BRC,Brady Corporation Common Stock
BSX,Boston Scientific Corporation Common Stock
C,Citigroup Inc. Common Stock
CAG,ConAgra Brands Inc. Common Stock
CAL,Caleres Inc. Common Stock
CNXC,Concentrix Corporation Common Stock
CRC,California Resources Corporation Common Stock
CTAS,Cintas Corporation Common Stock
CTG,Computer Task Group Inc. Common Stock
CULP,Culp Inc. Common Stock
CUTR,Cutera Inc. Common Stock
CVGI,Commercial Vehicle Group Inc. Common Stock
DAL,Delta Air Lines Inc. Common Stock
DDS,Dillard's Inc. Common Stock
DECK,Deckers Outdoor Corporation Common Stock
DFS,Discover Financial Services Common Stock
DGX,Quest Diagnostics Incorporated Common Stock
DIN,Dine Brands Global Inc. Common Stock
DKS,Dick's Sporting Goods Inc Common Stock
DLA,Delta Apparel Inc. Common Stock
DLX,Deluxe Corporation Common Stock
DRI,Darden Restaurants Inc. Common Stock
DVA,DaVita Inc. Common Stock
DVAX,Dynavax Technologies Corporation Common Stock
DXCM,DexCom Inc. Common Stock
EA,Electronic Arts Inc. Common Stock
EBAY,eBay Inc. Common Stock
EGHT,8x8 Inc Common Stock
ENPH,Enphase Energy Inc. Common Stock
ENTG,Entegris Inc. Common Stock
EOLS,Evolus Inc. Common Stock
EXEL,Exelixis Inc. Common Stock
EXTR,Extreme Networks Inc. Common Stock
FLXS,Flexsteel Industries Inc. Common Stock
GE,General Electric Company Common Stock
GES,Guess? Inc. Common Stock
GILD,Gilead Sciences Inc. Common Stock
GLW,Corning Incorporated Common Stock
GNW,Genworth Financial Inc Common Stock
GOGO,Gogo Inc. Common Stock
GPN,Global Payments Inc. Common Stock
GRPN,Groupon Inc. Common Stock
HNST,The Honest Company Inc. Common Stock
HOLX,Hologic Inc. Common Stock
HON,Honeywell International Inc. Common Stock
HPQ,HP Inc. Common Stock
HRL,Hormel Foods Corporation Common Stock
HXL,Hexcel Corporation Common Stock
ICPT,Intercept Pharmaceuticals Inc. Common Stock
ICUI,ICU Medical Inc. Common Stock
ILMN,Illumina Inc. Common Stock
IMH,Impac Mortgage Holdings Inc. Common Stock 
INFN,Infinera Corporation Common Stock
INGR,Ingredion Incorporated Common Stock
INTC,Intel Corporation Common Stock
INTU,Intuit Inc. Common Stock
IP,International Paper Company Common Stock
JACK,Jack In The Box Inc. Common Stock
JAKK,JAKKS Pacific Inc. Common Stock
JBL,Jabil Inc. Common Stock
JNJ,Johnson & Johnson Common Stock
JNPR,Juniper Networks Inc. Common Stock
JPM,JP Morgan Chase & Co. Common Stock
K,Kellogg Company Common Stock
KMB,Kimberly-Clark Corporation Common Stock
KMI,Kinder Morgan Inc. Common Stock
LAUR,Laureate Education Inc. Common Stock
LC,LendingClub Corporation Common Stock
LMT,Lockheed Martin Corporation Common Stock
LNC,Lincoln National Corporation Common Stock
LOW,Lowe's Companies Inc. Common Stock
LPX,Louisiana-Pacific Corporation Common Stock
LYV,Live Nation Entertainment Inc. Common Stock
M,Macy's Inc Common Stock
MAN,ManpowerGroup Common Stock
MAT,Mattel Inc. Common Stock
MCK,McKesson Corporation Common Stock
MHK,Mohawk Industries Inc. Common Stock
MOH,Molina Healthcare Inc Common Stock
MPAA,Motorcar Parts  of America Inc. Common Stock
MSFT,Microsoft Corporation Common Stock
MU,Micron Technology Inc. Common Stock
